employee_id,department,region,education,gender,recruitment_channel,no_of_trainings,age,previous_year_rating,length_of_service,KPIs_met >80%,awards_won?,avg_training_score,is_promoted
65438,7,31,Master's & above,0,2,1,35,5.0,8,1,0,49,0
65141,4,14,Bachelor's,1,0,1,30,5.0,4,0,0,60,0
7513,7,10,Bachelor's,1,2,1,34,3.0,7,0,0,50,0
2542,7,15,Bachelor's,1,0,2,39,1.0,10,0,0,50,0
48945,8,18,Bachelor's,1,0,1,45,3.0,2,0,0,73,0
58896,0,11,Bachelor's,1,2,2,31,3.0,7,0,0,85,0
20379,4,12,Bachelor's,0,0,1,31,3.0,5,0,0,59,0
16290,4,27,Master's & above,1,2,1,33,3.0,6,0,0,63,0
73202,0,12,Bachelor's,1,0,1,28,4.0,5,0,0,83,0
28911,7,0,Master's & above,1,2,1,32,5.0,5,1,0,54,0
29934,8,15,Bachelor's,1,2,1,30,3.0,1,0,0,77,0
49017,7,31,Bachelor's,0,2,1,35,5.0,3,1,0,50,1
60051,7,28,Bachelor's,1,2,1,49,5.0,5,1,0,49,0
38401,8,21,Master's & above,1,0,2,39,3.0,16,0,0,80,0
77040,6,11,Master's & above,1,2,1,37,3.0,7,0,0,84,0
43931,4,31,Bachelor's,1,0,1,37,1.0,10,0,0,60,0
7152,8,11,Bachelor's,1,0,1,38,3.0,5,1,0,77,0
9403,7,24,Bachelor's,1,0,1,34,1.0,4,0,0,51,0
17436,7,24,Bachelor's,1,0,1,34,5.0,8,1,0,46,0
54461,4,6,Bachelor's,1,0,1,37,3.0,9,0,0,59,0
12067,5,5,Bachelor's,1,0,1,35,3.0,7,0,0,75,0
33332,4,6,Bachelor's,1,2,1,41,4.0,11,0,0,57,0
58789,1,2,Bachelor's,0,0,1,28,3.0,4,0,0,63,0
71177,5,29,Bachelor's,1,0,1,27,3.0,1,0,0,70,0
52057,1,14,Master's & above,1,2,2,39,5.0,7,0,0,59,0
26585,8,14,Bachelor's,1,0,1,27,5.0,3,1,0,83,0
37749,5,18,Bachelor's,1,0,1,31,5.0,4,1,0,68,0
2370,8,18,Bachelor's,1,0,1,33,4.0,4,0,0,79,0
8219,0,29,Bachelor's,1,0,1,29,5.0,3,1,0,80,0
74759,7,28,Bachelor's,1,2,1,26,3.0,1,0,0,44,0
27395,5,6,Bachelor's,1,2,1,37,5.0,10,1,0,72,0
58536,1,24,Bachelor's,1,0,2,26,1.0,2,0,0,61,0
35465,7,31,Bachelor's,0,2,1,24,1.0,2,0,0,48,0
51756,4,11,Bachelor's,1,2,2,57,4.0,6,0,0,58,0
57011,0,14,Bachelor's,1,0,2,27,5.0,3,1,0,87,0
77064,7,14,Bachelor's,1,0,1,40,2.0,4,1,0,47,0
64062,8,20,Bachelor's,1,2,1,33,4.0,4,1,0,75,0
47123,7,31,Bachelor's,0,2,1,40,5.0,3,0,0,47,0
56275,7,0,Master's & above,1,0,1,42,5.0,5,1,0,51,0
58304,7,20,Bachelor's,1,2,1,33,5.0,6,1,0,51,1
25014,8,6,Bachelor's,1,0,1,34,3.0,10,0,0,80,0
40097,4,11,Bachelor's,0,0,2,23,4.0,2,1,0,57,0
23560,2,11,Bachelor's,1,2,1,59,4.0,26,1,0,52,0
17423,7,11,Bachelor's,1,0,3,24,2.0,2,0,0,48,0
61758,0,11,Bachelor's,1,0,1,44,5.0,12,0,0,88,0
